,headline,sensation,gpt4all-falcon-q4_0.gguf,gpt4all-13b-snoozy-q4_0.gguf,nous-hermes-llama2-13b.Q4_0.gguf,orca-2-13b.Q4_0.gguf,wizardlm-13b-v1.2.Q4_0.gguf
731,The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 ,positive,The sentiment of this news is positive.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraged"" or ""excited"". Possible responses for a neutral sentiment could be ""cautious"" or ""reserved"". Possible responses for a negative sentiment could be ""disappointed"", ""dismayed"" or ""concerned"".",Positive,Positive,Positive
529,`` They want my credit card info and my personal details ,neutral,The sentiment of this news is negative.,"The sentiment of that news can be considered as neutral, since it does not express a clear positive or negative emotion towards the situation described in the text.", Negative,Negative,negative
917,"A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-?01-?888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 ",neutral,The sentiment of this news is neutral.,Positive,The sentiment of this news is neutral.,Neutral,"The sentiment of this news is neutral, as it simply provides information about a replay being available for a certain period and the numbers to dial along with an access code without expressing any emotion or opinion."
2103,"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday ",negative,Negative,Positive,The sentiment is neutral.,Negative,"The sentiment of this news is ""negative""."
1285,"Koff 's market share of the volume of the market was 23.4 % , Karhu 's 21.4 % ",neutral,The sentiment of this news is positive.,Positive, The sentiment appears to be neutral as neither positive nor negative information is given in this news.,Neutral,The sentiment of this news seems to be neutral as it is providing factual information about the market share percentages without any apparent emotional tone or bias.
1729,"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations ",neutral,The sentiment of the news is positive.,"Possible responses for the human to choose from are ""negative"", ""neutral"" or ""positive"".","The sentiment of this news cannot be determined based on the given text alone, as it does not contain any emotional or subjective content. It simply states a fact about the organization of a business.",Neutral,Positive
768,"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix ",neutral,The sentiment of the news is neutral.,Positive,The sentiment of this news appears to be neutral as there are no strong positive or negative emotions conveyed in the text.,Neutral,"The sentiment of this news seems to be neutral, as it's a technical description about an invention without any emotional or subjective content."
198,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year ",positive,Negative.,Positive, Positive,Positive,Positive
1200,"Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Close",neutral,"Based on the information provided, it is difficult to determine the sentiment of the news as there is no clear indication of whether the deal was positive or negative. The information provided only includes the details of the acquisition and financing, but not any additional information about the company or its products.",Positive,The sentiment of this news is positive.,Positive,"The sentiment of this news is neutral, as it reports on a corporate acquisition without expressing any strong positive or negative emotions towards the parties involved or the transaction itself."
1051,The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting ,neutral,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
380,"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 ",positive,The sentiment of this news is positive.,Positive, The sentiment is positive.,Positive,Positive
988,"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings ",neutral,The sentiment of the news is positive.,Positive, The sentiment of this news appears to be neutral.,Neutral,Positive
720,"To see more of New Haven Register , or to subscribe to the newspaper ",neutral,The sentiment of this news is positive.,Positive,Positive.,Neutral,"The sentiment of this news seems neutral, as it neither encourages nor discourages reading more of the New Haven Register or subscribing to the newspaper."
1652,"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well ",neutral,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
188,"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday ",positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1035,Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas ,neutral,The sentiment of the news is positive.,Positive, The sentiment of this news appears to be neutral as it simply provides information about the establishment of Teleste and its division into two business areas without any indication of positive or negative connotations.,Neutral,Positive
514,The invention carries International Patent Publication No. ,neutral,The sentiment of the news is positive.,The sentiment cannot be determined without further context or information about the specific news article being referred to.," I'm sorry, but I don't understand what you are asking for. Could you please rephrase your question or provide more context?",Neutral,"The sentiment of this news cannot be determined as it lacks context and specific details about what exactly was invented or how it will impact society, individuals, or the world at large."
1620,"Currently Glaston employs approximately 1,500 persons ",neutral,The sentiment of this news is positive.,Positive, Positive,Neutral,Positive
1094,The new organization consists of two business units : Charging & Messaging and Finance & Administration ,neutral,The sentiment of the news is positive.,"Possible responses for a positive sentiment could be ""exciting,"" ""promising,"" or ""optimistic."" Possible responses for a neutral sentiment could be ""cautious"" or ""wait-and-see."" Possible responses for a negative sentiment could be ""disappointing,"" ""unimpressed,"" or ""skeptical.""",The sentiment of this news appears to be neutral.,Neutral,Neutral
916,A meeting of Glisten shareholders to vote on the bid will be held on 12 March ,neutral,The sentiment of this news is neutral.,Positive, The sentiment of this news appears to be neutral.,Neutral,Neutral
1801,"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications ",neutral,The sentiment of the news is positive.,"Possible responses to ""The order consists of outsourced application management, support and planning for Tecnotree and third-party applications"" include:

* Negative (e.g., ""Disappointed,"" ""Frustrated"")
* Neutral (""Indifferent,"" ""Unimpressed"")
* Positive (""Excited,"" ""Pleased"")", Positive,Neutral,"The sentiment of this news seems to be neutral, as it simply reports on an order without expressing any emotion or opinion about the topic."
832,M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 ,positive,"Based on the given information, it is difficult to determine the sentiment of the news as there is no context or additional information provided.",Positive, Positive,Positive,Positive
1891,"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago ",negative,Negative.,"Possible responses for the sentiment analysis could be ""negative"", ""neutral"" or ""positive"".", The sentiment is neutral.,Negative,The sentiment is neutral.
949,Currency conversions are based on exchange rates at the time of the deal ,neutral,"Based on the given information, it appears that the sentiment of the news is neutral.",Positive,Positive,Neutral,Neutral
182,Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
869,It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
712,The total project duration is three years and it is valued at some EUR11 .5 m,neutral,The sentiment of this news is positive.,"Possible responses for a positive sentiment could be ""exciting,"" ""promising,"" or ""encouraging."" Possible responses for a neutral sentiment could be ""interesting"" or ""intriguing."" Possible responses for a negative sentiment could be ""disappointing,"" ""unfortunate,"" or ""regrettable.""", Positive,Positive,Positive
1598,Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter ,neutral,Negative.,Positive," The sentiment of this news appears to be neutral, as there is no indication of positive or negative connotations in the given text.",Neutral,"The sentiment of this news ""Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter"" is neutral, as it simply reports on an expectation or prediction without expressing any emotion or opinion about its likelihood or significance."
717,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added ",neutral,The sentiment of this news is positive.,Positive, The sentiment of this news appears to be neutral as it reports a financial transaction without expressing any positive or negative emotion towards it.,Neutral,Positive
251,The company 's market share is continued to increase further ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
1005,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein ",neutral,The sentiment of the news is positive.,Positive,Positive.,Neutral,Positive
1857,"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn ",neutral,The sentiment of the news is positive.,Positive, The sentiment is neutral.,Neutral,Positive
1226,Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor ,neutral,The sentiment of this news is positive.,"Possible responses for a positive sentiment could be ""exciting,"" ""promising,"" or ""optimistic."" Possible responses for a neutral sentiment could include ""uncertain"" or ""wait-and-see."" Possible responses for a negative sentiment could include ""disappointing,"" ""unfortunate,"" or ""concerned."""," The sentiment of this news appears to be positive based on the fact that a new owner has been found for the successor of Kuitu Finland, which could potentially lead to growth and development in the company.",Neutral,"The sentiment of this news about a Finnish investment company owning the main stake in Kuitu Finland's successor seems to be neutral, as it does not provide any explicit positive or negative information."
1152,"Additionally , information on business segments , competitors and future outlook are provided ",neutral,Negative.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""promising"". Possible responses for a neutral sentiment could be ""unbiased"" or ""balanced"". Possible responses for a negative sentiment could be ""discouraging"", ""pessimistic"", or ""negative"".",Positive,Neutral,Positive
904,"According to latest information , Benefon will launch its Twig device on 20 September 2006 ",neutral,The sentiment of the news is positive.,Positive,Positive,Positive,Positive
821,"In Middle East & North Africa , Tecnotree has grown considerably in the recent years ",positive,Negative.,Positive," The sentiment of this news appears to be positive, as it mentions growth and progress for Tecnotree in the region.",Positive,Positive
2107,Operating profit for 2009 lower than outlook published earlier ,negative,Negative.,"Possible responses to ""Operating profit for 2009 lower than outlook published earlier"" could be:

* Negative (if the operating profit is significantly below expectations)
* Neutral (if the operating profit falls within a reasonable range of expectations or if it's not clear how much lower it was compared to the outlook)
* Positive (if the operating profit exceeded expectations, despite being slightly lower than originally forecast)."," The sentiment would be ""negative"".",Negative,"The sentiment of this news ""Operating profit for 2009 lower than outlook published earlier"" is neutral because it simply reports a fact without expressing any emotion or opinion about the situation."
287,The phones are targeted at first time users in growth markets ,neutral,The sentiment of this news is positive.,Positive,Positive,Neutral,Positive
507,"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking ",neutral,The sentiment of this news is positive.,Positive,Positive,Neutral,Positive
1101,The parties have agreed not to disclose the transaction value ,neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""optimistic,"" ""encouraging,"" or ""hopeful."" Possible responses for a neutral sentiment could be ""uncertain"" or ""cautious."" Possible responses for a negative sentiment could be ""disappointed,"" ""frustrated,"" or ""unhappy.""", neutral,Neutral,"The sentiment of this news ""The parties have agreed not to disclose the transaction value"" can be considered as neutral, as it does not express any strong positive or negative emotion towards the situation."
415,Finnish construction group Lemmink+駃nen has been awarded two road building contracts by the Lithuanian transport administration ,positive,Negative.,Positive, Positive,Positive,Positive
1718,"That address also happens to house Italian megamart Eataly , meaning that `` Come on , kids , we 're going to the Toy Building ! '",neutral,The sentiment of the news is positive.,Positive,Positive.,Neutral,Positive
342,"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago ",positive,The sentiment of this news is positive.,Positive,The sentiment is positive.,Neutral,Positive
841,"Previously , EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators ",positive,The sentiment of this news is positive.,"Possible responses could be ""negative"", ""neutral"" or ""positive"".",Positive,Positive,Positive
2051,Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki ,negative,The sentiment of this news is negative.,Positive, The sentiment of this news appears to be neutral as the drop in Kone's share price is not significant enough to indicate a strong positive or negative emotion.,Negative,"The sentiment of this news about Kone's share drop is ""negative""."
1958,Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 ,neutral,The sentiment of the news is positive.,Positive, The sentiment of this news appears to be neutral as there is no indication of positive or negative connotations in the given text.,Neutral,"The sentiment of this news about Sanoma announcing a stock option scheme in 2008 is neutral, as it does not express any strong positive or negative emotions towards the event."
699,The investment will be worth approximately EUR 100mn ,neutral,The sentiment of this news is positive.,"Possible responses for a positive sentiment could include ""exciting,"" ""promising,"" or ""encouraging."" Possible responses for a neutral sentiment could include ""interesting"" or ""intriguing."" Possible responses for a negative sentiment could include ""disappointing,"" ""unfortunate,"" or ""regrettable.""", Positive,Positive,Positive
1629,"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital ",neutral,"Based on the information provided, it is difficult to determine the sentiment of the news. The information only provides a brief overview of CapMan's history and funds under management, without any specific context or analysis.",Positive,Positive,Neutral,Positive
1278,"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market ",neutral,Negative.,Positive,Positive,Positive,Positive
1126,Work on the assignment has already started and is due for completion in spring 2011 ,neutral,The sentiment of this news is positive.,Positive,Positive,Neutral,Positive
2054,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project ",negative,The sentiment of this news is negative.,Positive,The sentiment of this news is neutral.,Neutral,Neutral
1140,"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday ",neutral,Negative.,Positive,The sentiment is positive.,Positive,Positive
1427,The ECB can mainly target inflation ,neutral,The sentiment of this news is neutral.,Positive, Positive,Neutral,Neutral
1054,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS ,neutral,The sentiment of the news is neutral.,Positive," Based on my analysis, I would say that the sentiment of this news is positive as it reports a successful listing for Rautaruukki Oyj's share on NASDAQ OMX Helsinki.",Neutral,"The sentiment of this news about Rautaruukki Oyj's share being quoted on NASDAQ OMX Helsinki is neutral, as it simply reports a factual event without expressing any emotion or opinion."
1273,It was decided that the auditors are reimbursed according to invoice ,neutral,The sentiment of this news is neutral.,Positive,Positive,Neutral,"The sentiment of this news is neutral, as it simply reports a decision without expressing any emotion or opinion about it."
405,Our standardised services have met with a positive reception among our customers as well as at Itella ,positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1150,"According to HK Ruokatalo , almost all the meat used by the company comes from Finland ",neutral,Negative.,Positive, Positive,Neutral,Positive
671,More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries ,neutral,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1013,Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V ,neutral,The sentiment of the news is neutral.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""promising"". Possible responses for a neutral sentiment could be ""unbiased"" or ""balanced"". Possible responses for a negative sentiment could be ""discouraged"", ""pessimistic"", or ""negative""."," The sentiment of this news cannot be determined as it depends on the context and content of the article, which has not been provided.",Neutral,"The sentiment of this news about Ramirent Finland, a machinery rental company, can be considered as neutral since it does not express any strong positive or negative emotions towards the company's domestic unit in Finland."
1351,Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares ,neutral,The sentiment of this news is positive.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""promising"". Possible responses for a neutral sentiment could be ""uncertain"" or ""ambiguous"". Possible responses for a negative sentiment could be ""discouraging"", ""pessimistic"", or ""unfavorable"".", The sentiment of this news appears to be neutral as it does not have a positive or negative connotation.,Neutral,"The sentiment of this news is neutral, as it simply reports on a business decision without expressing any emotion or opinion."
1157,"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper ",neutral,The sentiment of this news is positive.,Positive,The sentiment of this news is neutral.,Neutral,The sentiment of this news is neutral as it simply reports on the changes to UPM's average paper machine capacity without expressing any emotion or opinion about these changes.
644,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations ,neutral,The sentiment of this news is positive.,Positive, Positive,Neutral,Positive
210,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 ,positive,The sentiment of this news is positive.,Positive, The sentiment of this news is positive.,Positive,Positive
577,Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information ,neutral,The sentiment of this news is positive.,Positive, The sentiment of this news appears to be neutral as the report seems to provide factual information about Neste Oil Corporation's refining operation assets without expressing any positive or negative opinion on it.,Neutral,Neutral
253,"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo ",positive,The sentiment of the news is positive.,Positive, Positive,Positive,Positive
1838,The value of the deal was not disclosed ,neutral,The sentiment of this news is neutral.,"The sentiment of that news can be considered as neutral, since it does not provide any information about whether the deal's outcome or impact is positive or negative.", neutral,Neutral,Neutral
2151,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % ,negative,Negative.,Positive, The sentiment is neutral.,Neutral,Neutral
1989,"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 ",neutral,The sentiment of this news is positive.,Positive, The sentiment of this news appears to be neutral.,Neutral,"The sentiment of this news is neutral, as it simply reports an event (the expiration of a license agreement) without expressing any emotion or opinion about the situation."
420,"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter ",positive,The sentiment of the news is positive.,Positive,Positive,Positive,Positive
1330,Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland ,neutral,The sentiment of the news is neutral.,Positive, The sentiment of this news cannot be determined as it is not stated whether the report contains positive or negative information about the pharmaceutical market in Poland.,Neutral,Neutral
1001,No financial details were disclosed ,neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""good"", ""exciting"", or ""promising"". Possible responses for a neutral sentiment could be ""okay"" or ""unremarkable"". Possible responses for a negative sentiment could be ""bad"", ""disappointing"", or ""negative"".", neutral,Neutral,Neutral
598,Symphony Services provides development services for Aldata GOLD ,neutral,"Based on the given text, the sentiment of the news is positive.","Possible responses to ""Symphony Services provides development services for Aldata GOLD"" include:

* Negative (e.g., ""Uncertain,"" ""Skeptical"")
* Neutral (e.g., ""Indifferent,"" ""Ambiguous"")
* Positive (e.g., ""Optimistic,"" ""Encouraging"")", Positive,Neutral,Positive
2242,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers ,negative,The sentiment of this news is negative.,"Possible responses for ""Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers"" could include:

* Negative (e.g., ""disappointed,"" ""concerned"")
* Neutral (e.g., ""unaffected,"" ""indifferent"")
* Positive (e.g., ""optimistic,"" ""hopeful"").",Neutral,Negative,Neutral
590,"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices ",neutral,"Based on the information provided, it appears that the sentiment of the news about Sarantel is positive.",Positive,Positive,Neutral,Positive
1687,No planned closing date was provided ,neutral,Negative.,"Possible responses for a positive sentiment could be ""optimistic,"" ""hopeful,"" or ""encouraged."" Possible responses for a neutral sentiment could be ""uncertain"" or ""reserved."" Possible responses for a negative sentiment could be ""discouraged,"" ""pessimistic,"" or ""dismayed.""", neutral,Neutral,Neutral
1076,The first group of customers to be trained will be paint-shop owners and their assistants ,neutral,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1318,Okmetic has used the furnaces for the contract manufacturing of solar crystals ,neutral,The sentiment of this news is positive.,Positive, The sentiment of this news appears to be neutral.,Neutral,"The sentiment of this news about Okmetic using furnaces for the contract manufacturing of solar crystals is neutral, as it simply reports on a business activity without expressing any emotion or opinion."
430,Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping ,positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
606,The company is presently examining whether the project would be financially feasible ,neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could include ""optimistic,"" ""encouraging,"" or ""promising."" Possible responses for a neutral sentiment could include ""uncertain"" or ""cautious."" Possible responses for a negative sentiment could include ""discouraged,"" ""pessimistic,"" or ""unfavorable.""", Neutral,Neutral,The sentiment of this news is neutral.
257,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 ,positive,The sentiment of this news is positive.,Positive, Positive,Positive,Positive
149,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the ",positive,The sentiment of this news is positive.,Positive,The sentiment is positive.,Positive,Positive
1070,The deal will have no significant effect on the acquiring company 's equity ratio ,neutral,The sentiment of this news is neutral.,"Possible responses for a human to answer ""The deal will have no significant effect on the acquiring company's equity ratio?"" include: 
- Negative (e.g., ""What? That doesn't make sense."")
- Neutral (e.g., ""I don't know enough about finance or accounting to say for sure, but it seems unlikely that a deal would have no impact on the acquiring company's equity ratio."") 
- Positive (e.g., ""That sounds like good news! It means the acquiring company is in strong financial shape and can handle this new investment without any major changes to their balance sheet."")",Neutral,Neutral,Neutral
864,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 ",positive,Positive,Positive, The sentiment is positive.,Positive,Positive
1500,The sale price was not disclosed ,neutral,The sentiment of the news is neutral.,"The sentiment of that news cannot be determined as there is no information provided about whether it is positive, neutral or negative.", neutral,Neutral,Neutral
1646,"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m ",neutral,The sentiment of the news is positive.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""promising"". Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial"". Possible responses for a negative sentiment could be ""discouraged"", ""pessimistic"", or ""negative"".", The sentiment of this news appears to be positive as the company has reported an increase in net sales compared to the previous year.,Neutral,Positive
449,"The original name Componenta +鄊+裭 , as a subsidiary of the Finnish Componenta Group , has been changed to +鄊+裭 Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 ",positive,The sentiment of this news is positive.,Positive,Positive,Positive,Positive
1102,"The payment date is March 25 , 2010 ",neutral,The sentiment of this news is neutral.,"Possible responses for a positive sentiment could be ""optimistic"", ""encouraging"", or ""hopeful"". Possible responses for a neutral sentiment could be ""unbiased"" or ""impartial"". Possible responses for a negative sentiment could be ""pessimistic"", ""discouraging"", or ""dismayed"".",The sentiment of this news cannot be determined as it does not contain any emotional content or context.,Neutral,"The sentiment of this news ""The payment date is March 25, 2010"" would be neutral as it simply provides information about a specific event (the payment date) without expressing any emotion or opinion."
1584,`` These developments partly reflect the government 's higher activity in the field of dividend policy . ',neutral,The sentiment of this news is positive.,Positive, The sentiment of this news appears to be neutral.,Neutral,"The sentiment of the given news is neutral, as it simply states a fact about the government's increased involvement in dividend policy without expressing any emotion or opinion."
1528,The value of the order is EUR 4mn ,neutral,The sentiment of the news is neutral.,"Possible responses for a positive sentiment could be ""exciting"", ""encouraging"", or ""promising"". Possible responses for a neutral sentiment could include ""unremarkable"" or ""average"". Possible responses for a negative sentiment could include ""disappointing"", ""frustrating"", or ""depressing.""", Positive,Positive,Positive
